,,,,,
,あ,,強い,明るい,
,い,,温かい,静か,
,う,,強い,,
,え,,明るい,優しい,
,お,,温かい,穏やか,
,か,,賢い,強さ,まじめ
,き,,勢い,優しい,
,く,,地味,静か,
,け,,明るい,支配力,
,こ,,まじめ,賢い,古い
,さ,,優しい,明るい,癒し
,し,,冷たい,静か,
,す,,静か,落着き,
,せ,,賢い,情熱的,正しい
,そ,,温かい,清楚,おとなしい
,た,,正しい,熱心,温かい
,ち,,賢い,優しい,
,つ,,明るい,強い,熱心
,て,,強い,,
,と,,静か,おとなしい,穏やか
,な,,正しい,静か,
,に,,優しい,個性的,温かい
,ぬ,,個性的,静か,
,ね,,静か,強い,賢い
,の,,おとなしい,優しい,温かい
,は,,明るい,おとなしい,癒し
,ひ,,個性的,明るい,
,ふ,,明るい,強い,癒し
,へ,,個性的,古い,
,ほ,,優しい,温かい,癒し
,ま,,優しい,熱心,癒し
,み,,賢い,美しい,明るい
,む,,静か,穏やか,
,め,,明るい,癒し,穏やか
,も,,熱心,個性的,
,や,,強さ,まじめ,
,ゆ,,おとなしい,古い,熱心
,よ,,古い,まじめ,穏やか
,ら,,明るい,熱心,
,り,,個性的,賢い,まじめ
,る,,穏やか,静か,まじめ
,れ,,熱心,賢い,
,ろ,,熱心,個性的,
,わ,,優しい,明るい,穏やか
,を,,個性的,強い,
,ん,,優しい,古い,
