Id,1th,2th,3th,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21th,22th,23th,Ans
id1,0,8,4,13,10,0,,,,,,,,,,,,,,,,,,"1"
id2,0,8,18,7,8,0,20,,,,,,,,,,,,,,,,,"0"
id3,0,8,25,20,,,,,,,,,,,,,,,,,,,,"1"
id4,0,8,18,20,18,20,10,4,4,19,14,,,,,,,,,,,,,"1"
id5,0,8,18,20,7,14,10,10,4,4,,,,,,,,,,,,,,"1"
id6,0,8,3,0,,,,,,,,,,,,,,,,,,,,"1"
id7,0,8,19,18,20,,,,,,,,,,,,,,,,,,,"1"
id8,0,8,3,8,0,,,,,,,,,,,,,,,,,,,"1"
id9,0,20,,,,,,,,,,,,,,,,,,,,,,"0"
id10,0,14,25,14,17,0,,,,,,,,,,,,,,,,,,"1"
id11,0,10,0,15,15,14,8,,,,,,,,,,,,,,,,,"0"
id12,0,10,8,15,15,14,8,,,,,,,,,,,,,,,,,"0"
id13,0,10,8,17,20,,,,,,,,,,,,,,,,,,,"0"
id14,0,10,20,18,7,20,,,,,,,,,,,,,,,,,,"1"
id15,0,10,20,18,4,17,20,,,,,,,,,,,,,,,,,"1"
id16,0,10,4,17,20,,,,,,,,,,,,,,,,,,,"0"
id17,0,6,14,,,,,,,,,,,,,,,,,,,,,"1"
id18,0,10,14,6,0,17,4,17,20,,,,,,,,,,,,,,,"0"
id19,0,18,7,8,,,,,,,,,,,,,,,,,,,,"1"
id20,0,18,7,8,10,20,1,8,,,,,,,,,,,,,,,,"1"
id21,0,9,8,18,0,8,,,,,,,,,,,,,,,,,,"1"
id22,0,9,8,19,18,20,10,4,,,,,,,,,,,,,,,,"1"
id23,0,9,8,22,0,20,,,,,,,,,,,,,,,,,,"0"
id24,0,18,20,,,,,,,,,,,,,,,,,,,,,"1"
id25,0,25,20,10,4,17,20,,,,,,,,,,,,,,,,,"0"
id26,0,18,14,1,8,,,,,,,,,,,,,,,,,,,"1"
id27,0,19,0,4,17,20,,,,,,,,,,,,,,,,,,"0"
id28,0,19,0,17,8,12,0,4,,,,,,,,,,,,,,,,"1"
id29,0,19,0,17,20,,,,,,,,,,,,,,,,,,,"0"
id30,0,19,0,17,20,,,,,,,,,,,,,,,,,,,"0"
id31,0,19,18,20,10,0,8,,,,,,,,,,,,,,,,,"1"
id32,0,19,18,20,10,0,20,,,,,,,,,,,,,,,,,"0"
id33,0,18,18,0,17,8,,,,,,,,,,,,,,,,,,"0"
id34,0,19,19,14,8,20,12,0,13,8,,,,,,,,,,,,,,"0"
id35,0,19,18,20,12,8,,,,,,,,,,,,,,,,,,"1"
id36,0,19,4,17,20,,,,,,,,,,,,,,,,,,,"0"
id37,0,3,14,1,0,8,18,20,,,,,,,,,,,,,,,,"1"
id38,0,13,0,,,,,,,,,,,,,,,,,,,,,"1"
id39,0,13,0,20,13,18,20,,,,,,,,,,,,,,,,,"1"
id40,0,1,20,17,0,,,,,,,,,,,,,,,,,,,"1"
id41,0,1,20,17,0,15,15,14,8,,,,,,,,,,,,,,,"0"
id42,0,12,0,8,,,,,,,,,,,,,,,,,,,,"0"
id43,0,12,0,6,20,,,,,,,,,,,,,,,,,,,"1"
id44,0,12,0,2,7,20,0,,,,,,,,,,,,,,,,,"1"
id45,0,12,0,12,8,,,,,,,,,,,,,,,,,,,"1"
id46,0,12,4,17,8,10,0,13,5,20,19,19,14,1,14,14,17,20,,,,,,"1"
id47,0,24,0,18,7,8,8,,,,,,,,,,,,,,,,,"0"
id48,0,17,0,19,0,12,4,19,4,,,,,,,,,,,,,,,"0"
id49,0,17,0,22,0,18,20,,,,,,,,,,,,,,,,,"0"
id50,0,17,0,22,0,17,4,17,20,,,,,,,,,,,,,,,"0"
id51,0,17,8,,,,,,,,,,,,,,,,,,,,,"1"
id52,0,17,8,6,0,19,0,8,,,,,,,,,,,,,,,,"0"
id53,0,17,20,19,4,8,3,14,,,,,,,,,,,,,,,,"0"
id54,0,22,0,18,4,17,20,,,,,,,,,,,,,,,,,"0"
id55,0,13,6,0,8,,,,,,,,,,,,,,,,,,,"0"
id56,0,13,10,4,4,19,14,,,,,,,,,,,,,,,,,"1"
id57,0,13,13,14,9,14,20,,,,,,,,,,,,,,,,,"0"
id58,8,8,0,20,,,,,,,,,,,,,,,,,,,,"0"
id59,8,8,10,0,6,4,13,13,8,,,,,,,,,,,,,,,"0"
id60,8,8,12,0,2,7,8,6,0,8,,,,,,,,,,,,,,"1"
id61,8,4,9,20,20,,,,,,,,,,,,,,,,,,,"1"
id62,8,4,17,14,14,,,,,,,,,,,,,,,,,,,"1"
id63,8,6,0,8,,,,,,,,,,,,,,,,,,,,"0"
id64,8,6,0,8,,,,,,,,,,,,,,,,,,,,"0"
id65,8,6,0,8,13,8,12,14,,,,,,,,,,,,,,,,"0"
id66,8,10,0,6,0,,,,,,,,,,,,,,,,,,,"0"
id67,8,10,0,13,8,12,14,,,,,,,,,,,,,,,,,"0"
id68,8,10,8,17,20,,,,,,,,,,,,,,,,,,,"0"
id69,8,10,20,,,,,,,,,,,,,,,,,,,,,"0"
id70,8,10,20,,,,,,,,,,,,,,,,,,,,,"0"
id71,8,25,0,10,0,24,0,,,,,,,,,,,,,,,,,"1"
id72,8,18,7,8,10,8,,,,,,,,,,,,,,,,,,"1"
id73,8,9,14,20,,,,,,,,,,,,,,,,,,,,"0"
id74,8,25,4,13,-65,,,,,,,,,,,,,,,,,,,"0"
id75,8,19,0,,,,,,,,,,,,,,,,,,,,,"1"
id76,8,19,0,12,8,,,,,,,,,,,,,,,,,,,"1"
id77,8,19,0,12,4,17,20,,,,,,,,,,,,,,,,,"0"
id78,8,2,7,8,8,13,,,,,,,,,,,,,,,,,,"1"
id79,8,2,7,8,1,20,,,,,,,,,,,,,,,,,,"1"
id80,8,18,18,7,14,20,,,,,,,,,,,,,,,,,,"1"
id81,8,18,18,14,20,,,,,,,,,,,,,,,,,,,"0"
id82,8,15,15,0,8,,,,,,,,,,,,,,,,,,,"1"
id83,8,15,15,0,13,,,,,,,,,,,,,,,,,,,"1"
id84,8,15,15,0,13,19,4,10,8,,,,,,,,,,,,,,,"0"
id85,8,15,15,20,10,20,,,,,,,,,,,,,,,,,,"1"
id86,8,15,15,14,20,,,,,,,,,,,,,,,,,,,"0"
id87,8,15,15,14,20,,,,,,,,,,,,,,,,,,,"1"
id88,8,19,14,10,14,,,,,,,,,,,,,,,,,,,"1"
id89,8,12,0,,,,,,,,,,,,,,,,,,,,,"1"
id90,8,12,0,3,4,7,0,,,,,,,,,,,,,,,,,"0"
id91,8,12,0,3,4,12,14,,,,,,,,,,,,,,,,,"0"
id92,8,12,0,12,0,3,4,,,,,,,,,,,,,,,,,"0"
id93,8,12,4,4,9,8,,,,,,,,,,,,,,,,,,"1"
id94,8,17,0,8,17,0,,,,,,,,,,,,,,,,,,"0"
id95,8,17,24,14,20,,,,,,,,,,,,,,,,,,,"1"
id96,8,22,0,1,0,,,,,,,,,,,,,,,,,,,"0"
id97,8,22,0,24,20,17,20,,,,,,,,,,,,,,,,,"0"
id98,8,13,18,7,20,20,13,19,4,13,,,,,,,,,,,,,,"1"
id99,8,13,19,0,1,24,20,20,,,,,,,,,,,,,,,,"1"
id100,20,8,18,20,10,8,8,,,,,,,,,,,,,,,,,"1"
id101,20,8,17,20,18,20,,,,,,,,,,,,,,,,,,"1"
id102,20,8,13,10,20,,,,,,,,,,,,,,,,,,,"1"
id103,20,8,13,3,14,14,18,7,14,15,15,8,13,6,20,,,,,,,,,"1"
id104,20,20,17,20,,,,,,,,,,,,,,,,,,,,"1"
id105,20,10,0,1,20,,,,,,,,,,,,,,,,,,,"0"
id106,20,10,8,0,6,0,17,20,,,,,,,,,,,,,,,,"0"
id107,20,18,7,8,,,,,,,,,,,,,,,,,,,,"1"
id108,20,18,7,8,17,14,18,20,6,0,19,0,,,,,,,,,,,,"1"
id109,20,18,20,6,20,17,0,8,,,,,,,,,,,,,,,,"0"
id110,20,2,7,8,,,,,,,,,,,,,,,,,,,,"1"
id111,20,10,10,0,17,8,,,,,,,,,,,,,,,,,,"0"
id112,20,19,18,20,10,20,18,7,8,8,,,,,,,,,,,,,,"0"
id113,20,3,4,,,,,,,,,,,,,,,,,,,,,"1"
id114,20,19,14,20,19,14,,,,,,,,,,,,,,,,,,"0"
id115,20,13,0,25,20,10,20,,,,,,,,,,,,,,,,,"0"
id116,20,12,0,10,20,,,,,,,,,,,,,,,,,,,"0"
id117,20,12,0,12,8,,,,,,,,,,,,,,,,,,,"1"
id118,20,12,4,17,20,,,,,,,,,,,,,,,,,,,"0"
id119,20,17,0,6,0,0,17,20,,,,,,,,,,,,,,,,"0"
id120,20,17,0,6,8,17,20,,,,,,,,,,,,,,,,,"0"
id121,20,17,0,13,0,8,,,,,,,,,,,,,,,,,,"1"
id122,20,17,0,13,0,8,18,7,8,,,,,,,,,,,,,,,"1"
id123,20,17,0,13,0,20,,,,,,,,,,,,,,,,,,"0"
id124,20,17,8,0,6,4,,,,,,,,,,,,,,,,,,"1"
id125,20,17,24,14,20,,,,,,,,,,,,,,,,,,,"1"
id126,20,13,,,,,,,,,,,,,,,,,,,,,,"1"
id127,20,13,2,7,8,13,,,,,,,,,,,,,,,,,,"1"
id128,20,13,19,4,13,18,7,20,,,,,,,,,,,,,,,,"1"
id129,4,8,10,24,14,20,,,,,,,,,,,,,,,,,,"1"
id130,4,8,18,4,8,7,14,20,18,14,20,,,,,,,,,,,,,"1"
id131,4,8,24,14,20,,,,,,,,,,,,,,,,,,,"1"
id132,4,6,0,14,,,,,,,,,,,,,,,,,,,,"1"
id133,4,18,20,4,5,20,4,8,6,0,,,,,,,,,,,,,,"1"
id134,4,18,20,13,8,10,10,20,17,24,14,20,17,8,,,,,,,,,,"1"
id135,4,13,20,10,4,8,18,0,8,1,14,20,,,,,,,,,,,,"1"
id136,4,17,8,8,19,14,,,,,,,,,,,,,,,,,,"1"
id137,4,17,20,,,,,,,,,,,,,,,,,,,,,"0"
id138,4,13,,,,,,,,,,,,,,,,,,,,,,"1"
id139,4,13,6,8,,,,,,,,,,,,,,,,,,,,"1"
id140,4,13,6,4,8,,,,,,,,,,,,,,,,,,,"1"
id141,4,13,9,8,,,,,,,,,,,,,,,,,,,,"1"
id142,4,13,18,20,19,14,,,,,,,,,,,,,,,,,,"1"
id143,4,13,18,14,20,,,,,,,,,,,,,,,,,,,"1"
id144,4,13,3,0,12,0,-65,,,,,,,,,,,,,,,,,"0"
id145,14,20,4,13,,,,,,,,,,,,,,,,,,,,"1"
id146,14,20,9,8,17,20,,,,,,,,,,,,,,,,,,"0"
id147,14,14,0,12,4,,,,,,,,,,,,,,,,,,,"1"
id148,14,14,10,0,19,0,,,,,,,,,,,,,,,,,,"1"
id149,14,14,18,0,10,0,9,14,20,,,,,,,,,,,,,,,"1"
id150,14,14,1,0,0,,,,,,,,,,,,,,,,,,,"0"
id151,14,14,1,0,0,,,,,,,,,,,,,,,,,,,"1"
id152,14,14,1,0,10,0,,,,,,,,,,,,,,,,,,"1"
id153,14,14,12,20,10,0,18,7,8,,,,,,,,,,,,,,,"1"
id154,14,14,24,0,-57,18,0,13,-56,,,,,,,,,,,,,,,"1"
id155,14,14,24,20,10,8,,,,,,,,,,,,,,,,,,"1"
id156,14,10,0,13,4,12,14,2,7,8,,,,,,,,,,,,,,"1"
id157,14,10,0,22,0,17,8,,,,,,,,,,,,,,,,,"1"
id158,14,10,14,17,8,15,15,14,8,,,,,,,,,,,,,,,"0"
id159,14,10,14,17,20,,,,,,,,,,,,,,,,,,,"0"
id160,14,10,14,17,20,,,,,,,,,,,,,,,,,,,"0"
id161,14,6,14,17,20,,,,,,,,,,,,,,,,,,,"0"
id162,14,9,8,6,8,,,,,,,,,,,,,,,,,,,"1"
id163,14,9,0,12,0,18,7,8,12,0,18,20,,,,,,,,,,,,"0"
id164,14,18,14,20,25,0,8,,,,,,,,,,,,,,,,,"1"
id165,14,18,14,17,4,8,17,20,,,,,,,,,,,,,,,,"0"
id166,14,18,14,22,0,17,20,,,,,,,,,,,,,,,,,"0"
id167,14,19,0,6,0,8,,,,,,,,,,,,,,,,,,"0"
id168,14,19,0,6,0,8,18,0,12,0,,,,,,,,,,,,,,"1"
id169,14,2,7,8,19,18,20,10,20,,,,,,,,,,,,,,,"0"
id170,14,3,4,10,14,,,,,,,,,,,,,,,,,,,"1"
id171,14,19,14,18,7,8,24,14,17,8,,,,,,,,,,,,,,"1"
id172,14,19,14,25,20,17,4,17,20,,,,,,,,,,,,,,,"0"
id173,14,19,14,13,0,,,,,,,,,,,,,,,,,,,"1"
id174,14,19,14,13,0,18,7,8,8,,,,,,,,,,,,,,,"0"
id175,14,19,14,13,0,15,15,14,8,,,,,,,,,,,,,,,"0"
id176,14,3,14,17,14,10,20,,,,,,,,,,,,,,,,,"0"
id177,14,13,8,,,,,,,,,,,,,,,,,,,,,"1"
id178,14,13,8,0,8,,,,,,,,,,,,,,,,,,,"1"
id179,14,13,8,6,8,17,8,,,,,,,,,,,,,,,,,"1"
id180,14,13,8,6,14,10,10,14,,,,,,,,,,,,,,,,"1"
id181,14,1,8,17,20,,,,,,,,,,,,,,,,,,,"0"
id182,14,5,8,18,20,,,,,,,,,,,,,,,,,,,"1"
id183,14,1,14,13,,,,,,,,,,,,,,,,,,,,"1"
id184,14,12,14,8,10,8,17,8,,,,,,,,,,,,,,,,"0"
id185,14,12,14,8,19,18,20,10,20,,,,,,,,,,,,,,,"0"
id186,14,12,14,12,8,,,,,,,,,,,,,,,,,,,"1"
id187,14,12,14,22,0,25,20,,,,,,,,,,,,,,,,,"0"
id188,14,24,0,10,14,,,,,,,,,,,,,,,,,,,"1"
id189,14,24,0,19,18,20,,,,,,,,,,,,,,,,,,"1"
id190,14,24,0,24,20,1,8,,,,,,,,,,,,,,,,,"1"
id191,14,17,8,13,15,8,10,10,20,,,,,,,,,,,,,,,"1"
id192,14,17,4,8,,,,,,,,,,,,,,,,,,,,"1"
id193,14,17,4,13,9,8,,,,,,,,,,,,,,,,,,"1"
id194,14,22,0,17,20,,,,,,,,,,,,,,,,,,,"0"
id195,14,13,18,7,8,19,18,20,,,,,,,,,,,,,,,,"1"
id196,14,13,3,0,13,10,0,,,,,,,,,,,,,,,,,"1"
id197,14,13,3,14,,,,,,,,,,,,,,,,,,,,"1"
id198,10,0,8,10,4,19,18,20,,,,,,,,,,,,,,,,"1"
id199,6,0,8,18,7,20,19,18,20,,,,,,,,,,,,,,,"1"
