name,label
しげのぶ,0
あさみ,1
てつじ,0
しな,1
とくひこ,0
れい,1
ひさえ,1
まき,1
さちみ,1
ひでし,0
ひろかず,0
まさのぶ,0
しげや,0
てつや,0
いっせい,0
まき,1
ゆうみ,1
けい,1
でんざぶろう,0
きよしげ,0
もとみ,0
まこと,1
ともみ,1
げんぺい,0
つぐお,0
せいいち,0
くにひろ,0
たかお,0
つぎお,0
よしあき,0
せいしろう,0
みほこ,1
くにみ,1
たかじ,0
やすぞう,0
くによし,0
ちえ,1
まさおみ,0
みちまさ,0
さだお,0
ぶんご,0
こうき,0
みつえ,1
ひろと,0
ゆい,1
よしえ,1
なおこ,1
かずひさ,0
せいや,0
さとる,0
あいか,1
しげとし,0
しょうき,0
ただすけ,0
たかみち,0
たつお,0
みえこ,1
もとひさ,0
たつみ,0
こうじ,0
やすみ,1
えいご,0
あさみ,1
まさおみ,0
なつみ,1
ひろし,0
ふさみ,1
ひろあき,0
みき,1
ひとみ,1
けい,1
ゆきお,0
てるまさ,0
まさひろ,0
しゅうじ,0
てつこ,1
あきひさ,0
いさお,0
よしお,0
てるよし,0
なりお,0
まき,1
りきや,0
ちえこ,1
ともえ,1
やすへい,0
けいじ,0
ももよ,1
かずき,0
はるみ,1
やすみ,1
よしあき,0
さんぺい,0
いっせい,0
のりゆき,0
よしひさ,0
とくひこ,0
まもる,0
ひでお,0
ていじ,0
ゆり,1
よしのぶ,0
ふゆき,0
れい,1
てるこ,1
かつと,0
ともよし,0
よしこ,1
よしかず,0
みちまさ,0
るりこ,1
のぞみ,1
もとひさ,0
とよし,0
でんざぶろう,0
ひでみつ,0
まり,1
れいな,1
ともお,0
ぐんいち,0
よしのり,0
きょうあ,0
よしたけ,0
こうこ,1
しょうじろう,0
とらのすけ,0
まつじろう,0
なおこ,1
かよこ,1
ひでゆき,0
まき,1
ひろのり,0
しんや,0
けいじ,0
ふみお,0
あきよ,1
みさお,0
さくこ,1
ともかつ,0
えつこ,1
はるお,0
あきひろ,0
あさみ,1
はるの,1
じゅんいちろう,0
ようのすけ,0
きよひろ,0
たかよし,0
たえこ,1
ちょういちろう,0
きくお,0
よしとし,0
ゆうこ,1
れいな,1
かずひさ,0
さちお,0
いちお,0
たけひさ,0
かつと,0
やすのぶ,0
りえこ,1
まさお,0
まきこ,1
まさはる,0
つねひろ,0
たきこ,1
ぶんご,0
さちみ,1
よしまさ,0
みちひこ,0
よしろう,0
あかね,1
まさえ,0
ひろまさ,0
まき,1
さだお,0
としお,0
なつみ,1
まさふみ,0
のりひろ,0
ふさみ,1
とよあき,0
なりみ,1
りえこ,1
みえこ,1
たけし,0
ともこ,1
よしえ,1
いちお,0
えみ,1
めぐみ,1
ひでのり,0
さとみ,1
なりみ,1
ひろやす,0
のぶこ,1
しょうぞう,0
としろう,0
よしはる,0
よりふみ,0
ゆうこ,1
ひろむ,0
まさはる,0
てるまさ,0
かくたろう,0
きんじ,0
よしひこ,0
よしはる,0
りえこ,1
やすひで,0
りえこ,1
あきひろ,0
あきよ,1
みきお,0
はるゆき,0
しんじ,0
ゆうしろう,0
ひさや,0
ちず,1
たかこ,1
ひでひろ,0
ともみ,1
ゆりこ,1
きみえ,1
はつみ,1
ゆうじろう,0
かずのり,0
ちこと,1
しんき,0
よしろう,0
かつひろ,0
かつゆき,0
りえ,1
ひとみ,1
かつひろ,0
さとし,0
せいこ,1
かずよし,0
うんきち,0
いっせい,0
ゆきこ,1
かつあき,0
まりこ,1
あきひさ,0
きよ,1
いさみ,1
なおこ,1
しゅうきち,0
ともたか,0
ていじ,0
とも,1
なおみ,1
あきこ,1
なおたけ,0
ようこ,1
しんや,0
まさふみ,0
せいな,1
ぜんじ,0
もとおみ,0
きゅうさく,0
あゆみ,1
たけいち,0
のぞみ,1
えいのすけ,0
まき,1
きくこ,1
こうたろう,0
ともえ,1
しげつぐ,0
まさえ,0
いっせい,0
としひこ,0
ゆうこう,0
じゅんじ,0
まき,1
ともこ,1
